mca_1,mca_2,dataset_short_name,session_id,subject_id,behavioral_context,recording_profile_group,recommended_analysis_type,duplicate_profile_count,mca_1_plot,mca_2_plot,categorical_cluster
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-17,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4569862322195615,-3.3289018276232754,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-20,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4340402795270992,-3.334175702248676,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-21,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.47698157058708,-3.4350526167036426,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-23,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.3980314630350366,-3.3410623883947435,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-24,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.558978430584694,-3.3300433045138607,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-25,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.4903885390716396,-3.14690364792226,0
2.5081663548395414,-3.3483015709249733,openfield_ca1,26191_2020-04-27,26191,open field / navigation,spike_behavior,spike-behavior analysis,93,2.390501851279329,-3.1981540020224397,0
4.192101516955716,4.785435853294538,nwb_ca1,26863_2020-Nov-04_12-46-06,26863_Ash,35 mins; OF; decent coverage; still plugged in from previous session in room 2.408,spike_behavior,spike-behavior analysis,18,4.12384204891101,4.697693007018167,2
4.946062581566461,4.712240475933468,nwb_ca1,26863_2020-Nov-05_10-26-23,26863_Ash,open field; object,spike_behavior,spike-behavior analysis,5,4.983785663370072,4.712247227380781,2
4.192101516955716,4.785435853294538,nwb_ca1,26965_2020-Dec-07_15-52-32,26965_Bubinga,NWB electrophysiology,spike_behavior,spike-behavior analysis,18,4.169110848031782,4.932388935560243,2
4.192101516955716,4.785435853294538,nwb_ca1,26965_2020-Dec-07_16-51-52,26965_Bubinga,NWB electrophysiology,spike_behavior,spike-behavior analysis,18,4.075026156808756,5.01784122683377,2
3.56434615625917,5.294500370862639,nwb_ca1,26965_2020-Dec-08_10-46-12,26965_Bubinga,figure-eight,spike_behavior,spike-behavior analysis,5,3.6902145484571895,5.31552030887441,2
4.516744196028056,3.877935729956487,nwb_ca1,26965_2020-Dec-08_11-29-48,26965_Bubinga,open field (motive crashed),spike_behavior,spike-behavior analysis,6,4.427909741274898,3.8577775396999363,2
4.516744196028056,3.877935729956487,nwb_ca1,26965_2020-Dec-08_14-36-11,26965_Bubinga,open field; party lights,spike_behavior,spike-behavior analysis,6,4.47902221143206,3.8901407309246845,2
3.56434615625917,5.294500370862639,nwb_ca1,26965_2020-Dec-09_11-52-59,26965_Bubinga,figure-eight,spike_behavior,spike-behavior analysis,5,3.59521388046369,5.332911843133967,2
4.946062581566461,4.712240475933468,nwb_ca1,26965_2020-Dec-09_12-10-58,26965_Bubinga,open field; object,spike_behavior,spike-behavior analysis,5,5.027079846992048,4.6545158332500405,2
4.516744196028056,3.877935729956487,nwb_ca1,26965_2020-Dec-11_10-58-11,26965_Bubinga,open field; party lights,spike_behavior,spike-behavior analysis,6,4.5378415723765775,3.9956550877959396,2
