dataset_short_name,session_id,subject_id,metadata_profile_label,cluster,pca_1,pca_2
legacy_touchscreen,rat-14_190131,rat-14,navigation/open-field ephys profile,3,2.2162311270469535,3.0908863125795736
legacy_touchscreen,rat-14_190202,rat-14,navigation/open-field ephys profile,3,2.225185482587729,3.049661876742186
legacy_touchscreen,rat-14_190204,rat-14,navigation/open-field ephys profile,3,2.224194853566707,3.1135351698115588
legacy_touchscreen,rat-14_190205,rat-14,navigation/open-field ephys profile,3,2.2147171281425333,3.0766672003762143
legacy_touchscreen,rat-14_190206,rat-14,navigation/open-field ephys profile,3,2.2050289242700036,3.0585560201853284
legacy_touchscreen,rat-14_190207,rat-14,navigation/open-field ephys profile,3,2.220697086450345,3.027584292934571
legacy_touchscreen,rat-16_181012,rat-16,navigation/open-field ephys profile,3,2.1818684119074354,3.149040715643034
legacy_touchscreen,rat-16_181013,rat-16,navigation/open-field ephys profile,3,2.2668542124949296,3.1429629144100706
legacy_touchscreen,rat-16_181015,rat-16,navigation/open-field ephys profile,3,2.2566772639379855,3.029596337871753
legacy_touchscreen,rat-16_181016,rat-16,navigation/open-field ephys profile,3,2.230372275924735,3.1425995620040372
legacy_touchscreen,rat-16_181021,rat-16,navigation/open-field ephys profile,3,2.311587622742132,3.130645643166451
legacy_touchscreen,rat-16_181022,rat-16,navigation/open-field ephys profile,3,2.4341941072953803,3.1103360291106217
legacy_touchscreen,rat-16_181023,rat-16,navigation/open-field ephys profile,3,2.4507193548443884,3.083818405145608
legacy_touchscreen,rat-16_181024,rat-16,navigation/open-field ephys profile,3,2.2616721153047123,3.160772409056545
legacy_touchscreen,rat-16_181025,rat-16,navigation/open-field ephys profile,3,2.2787743155712734,3.157061914463724
legacy_touchscreen,rat-16_181029,rat-16,navigation/open-field ephys profile,3,2.3354548983513386,3.175771490097793
legacy_touchscreen,rat-26_190625,rat-26,navigation/open-field ephys profile,3,2.2776452422130498,3.144207702143135
legacy_touchscreen,rat-26_190626,rat-26,navigation/open-field ephys profile,3,2.372029934426118,3.156006996556218
legacy_touchscreen,rat-26_190627,rat-26,navigation/open-field ephys profile,3,2.2120079917186946,3.121994963636382
legacy_touchscreen,rat-26_190702,rat-26,navigation/open-field ephys profile,3,2.4970894696802004,3.165570530456765
legacy_touchscreen,rat-27_191128,rat-27,navigation/open-field ephys profile,3,2.06640882242637,3.0172790521040196
legacy_touchscreen,rat-27_191204,rat-27,navigation/open-field ephys profile,3,2.29987435487048,3.1457567880106048
legacy_touchscreen,rat-27_191209,rat-27,navigation/open-field ephys profile,3,2.3154047424693553,3.2337803018070006
legacy_touchscreen,rat-27_191210,rat-27,navigation/open-field ephys profile,3,2.2341835856012495,3.205175456384137
touchandsee,Ramachandran_samp20_2012-08-09,Ramachandran,task/event/unit-rich profile,1,4.433124945654573,0.7960357966239525
touchandsee,Ramachandran_samp21_2012-08-10,Ramachandran,task/event/unit-rich profile,1,5.517907605944959,0.7349069598431646
touchandsee,Ramachandran_samp22_2012-08-11,Ramachandran,task/event/unit-rich profile,1,5.4271389397699785,0.7062878985766382
touchandsee,Ramachandran_samp23_2012-08-12,Ramachandran,task/event/unit-rich profile,1,5.355088679882218,0.6835880692048857
touchandsee,Ramachandran_samp24_2012-08-13,Ramachandran,task/event/unit-rich profile,1,5.471172518320091,0.7201687960030995
touchandsee,Ramachandran_samp25_2012-08-14,Ramachandran,task/event/unit-rich profile,1,5.546075923446261,0.7437925239658146
touchandsee,Ramachandran_samp26_2012-08-15,Ramachandran,task/event/unit-rich profile,1,5.532259849850773,0.7394340828395859
touchandsee,Ramachandran_samp27_2012-08-16,Ramachandran,task/event/unit-rich profile,1,5.502975888396298,0.7301975697946427
touchandsee,Ramachandran_samp28_2012-08-17,Ramachandran,task/event/unit-rich profile,1,5.495277724495269,0.7277698193365527
touchandsee,Ramachandran_samp29_2012-08-18,Ramachandran,task/event/unit-rich profile,1,5.366281457403505,0.6871132652183805
touchandsee,Ramachandran_samp30_2012-08-20,Ramachandran,task/event/unit-rich profile,1,5.479383384523759,0.7227577347663041
touchandsee,Ramachandran_samp31_2012-08-21,Ramachandran,task/event/unit-rich profile,1,5.397960501572429,0.6970930181093792
touchandsee,Ramachandran_samp32_2012-08-22,Ramachandran,task/event/unit-rich profile,1,5.355088679882218,0.6835880692048857
touchandsee,Ramachandran_samp33_2012-08-22,Ramachandran,task/event/unit-rich profile,1,5.387699380024656,0.6938601185777508
touchandsee,Taskmaster_samp1_2012-01-03,Taskmaster,task/event/unit-rich profile,1,5.680941305192659,0.7863571633223218
touchandsee,Taskmaster_samp10_2012-01-15,Taskmaster,task/event/unit-rich profile,1,5.666537867033937,0.7818097996921783
touchandsee,Taskmaster_samp11_2012-01-16,Taskmaster,task/event/unit-rich profile,1,5.596693712488164,0.7597639514291299
touchandsee,Taskmaster_samp12_2012-01-17,Taskmaster,task/event/unit-rich profile,1,5.656614226309601,0.7786769606139547
touchandsee,Taskmaster_samp13_2012-01-18,Taskmaster,task/event/unit-rich profile,1,5.572250024714903,0.7520505820021766
touchandsee,Taskmaster_samp14_2011-12-22,Taskmaster,task/event/unit-rich profile,1,5.3435465739592125,0.679953327604404
touchandsee,Taskmaster_samp15_2011-12-23,Taskmaster,task/event/unit-rich profile,1,5.397960501572429,0.6970930181093792
touchandsee,Taskmaster_samp16_2011-12-24,Taskmaster,task/event/unit-rich profile,1,5.590732557848454,0.7578827608813924
touchandsee,Taskmaster_samp17_2011-12-25,Taskmaster,task/event/unit-rich profile,1,5.614021544494877,0.7652325617038771
touchandsee,Taskmaster_samp18_2011-12-29,Taskmaster,task/event/unit-rich profile,1,5.772272458538961,0.815198564338068
touchandsee,Taskmaster_samp19_2011-12-30,Taskmaster,task/event/unit-rich profile,1,5.729418659423348,0.8016643908674626
touchandsee,Taskmaster_samp2_2012-01-03,Taskmaster,task/event/unit-rich profile,1,5.671401599771999,0.7833453108471657
touchandsee,Taskmaster_samp3_2012-01-04,Taskmaster,task/event/unit-rich profile,1,5.666537867033937,0.7818097996921783
touchandsee,Taskmaster_samp4_2012-01-05,Taskmaster,task/event/unit-rich profile,1,5.685620451817763,0.7878345030883399
touchandsee,Taskmaster_samp5_2012-01-06,Taskmaster,task/event/unit-rich profile,1,5.565878086248423,0.7500400714031742
touchandsee,Taskmaster_samp6_2012-01-10,Taskmaster,task/event/unit-rich profile,1,5.680941305192659,0.7863571633223218
touchandsee,Taskmaster_samp7_2012-01-11,Taskmaster,task/event/unit-rich profile,1,5.729418659423348,0.8016643908674626
touchandsee,Taskmaster_samp8_2012-01-12,Taskmaster,task/event/unit-rich profile,1,5.666537867033937,0.7818097996921783
touchandsee,Taskmaster_samp9_2012-01-14,Taskmaster,task/event/unit-rich profile,1,5.676202206601624,0.7848609291030164
touchandsee,Turing_samp34_2012-09-14,Turing,task/event/unit-rich profile,1,5.532259849850773,0.7394340828395859
touchandsee,Turing_samp35_2012-09-15,Turing,task/event/unit-rich profile,1,4.410169116793131,0.3902070868731979
touchandsee,Turing_samp36_2012-09-15,Turing,task/event/unit-rich profile,1,5.5105170911074906,0.7325759608688791
touchandsee,Turing_samp37_2012-09-16,Turing,task/event/unit-rich profile,1,5.680941305192659,0.7863571633223218
touchandsee,Turing_samp38_2012-09-17,Turing,task/event/unit-rich profile,1,5.502975888396298,0.7301975697946427
touchandsee,Turing_samp39_2012-09-18,Turing,task/event/unit-rich profile,1,5.614021544494877,0.7652325617038771
touchandsee,Turing_samp40_2012-09-19,Turing,task/event/unit-rich profile,1,5.235368700013911,0.6459133016105296
touchandsee,Turing_samp41_2012-09-19,Turing,task/event/unit-rich profile,1,5.279722550672835,0.6598638381471441
