dataset_short_name,file,status,message
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-10_11-06-56.nwb,success,Extracted 1357 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-10_14-07-47.nwb,success,Extracted 1288 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\27963\27963_2022-Feb-11_14-58-41.nwb,success,Extracted 1033 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-07_20-44-03.nwb,success,Extracted 895 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-08_11-22-53.nwb,success,Extracted 1193 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-08_11-38-59.nwb,success,Extracted 1056 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-08_15-04-04.nwb,success,Extracted 1386 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-09_07-54-00.nwb,success,Extracted 1598 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\28003\28003_2022-Mar-10_10-53-58.nwb,success,Extracted 834 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29629\29629_2024-Oct-29_15-05-13.nwb,success,Extracted 380 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29629\29629_2024-Oct-30_05-40-15.nwb,success,Extracted 1009 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29629\29629_2024-Oct-30_15-13-05.nwb,success,Extracted 396 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_07-08-26.nwb,success,Extracted 2728 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_09-22-08.nwb,success,Extracted 2119 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_13-26-08.nwb,success,Extracted 6978 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-17_23-09-30.nwb,success,Extracted 2776 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-18_10-18-21.nwb,success,Extracted 1918 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-18_14-20-12.nwb,success,Extracted 4732 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-18_15-19-16.nwb,success,Extracted 2246 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-19_05-09-20.nwb,success,Extracted 2195 units
nwb_ca1,C:\Users\tkassably\Downloads\d-885b4936-9345-43bd-880e-eebc19898ded\data\29630\29630_2024-Sep-19_11-15-17.nwb,success,Extracted 5029 units
