dataset,analysis_family,session_id,subject_id,context,region,recording_system,recording_duration_s,recording_duration_min,sorted_units_mclust,sorted_unit_spikes_total_mclust,raw_spike_events_total,n_lfp_channels,has_position_metadata,has_sorted_unit_metadata,evidence_level
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-06,26019,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,158246,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-07,26019,open_field_continuous_foraging,CA1,Axona,1229.0,20.483333333333334,0,0,80241,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-08,26019,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,75656,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-09,26019,open_field_continuous_foraging,CA1,Axona,1459.0,24.316666666666666,0,0,113258,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-10,26019,open_field_continuous_foraging,CA1,Axona,1592.0,26.533333333333335,0,0,196230,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-13,26019,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,129053,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-14,26019,open_field_continuous_foraging,CA1,Axona,1725.0,28.75,0,0,88320,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-15,26019,open_field_continuous_foraging,CA1,Axona,1361.0,22.683333333333334,0,0,71779,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-16,26019,open_field_continuous_foraging,CA1,Axona,1206.0,20.1,0,0,70971,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-17,26019,open_field_continuous_foraging,CA1,Axona,1569.0,26.15,0,0,137114,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-20,26019,open_field_continuous_foraging,CA1,Axona,1634.0,27.233333333333334,0,0,54111,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-21,26019,open_field_continuous_foraging,CA1,Axona,1381.0,23.016666666666666,0,0,67585,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-22,26019,open_field_continuous_foraging,CA1,Axona,1503.0,25.05,0,0,119232,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-23,26019,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,225459,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-27,26019,open_field_continuous_foraging,CA1,Axona,1681.0,28.016666666666666,0,0,141768,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-29,26019,open_field_continuous_foraging,CA1,Axona,1427.0,23.783333333333335,0,0,62266,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26019_2020-01-30,26019,open_field_continuous_foraging,CA1,Axona,1381.0,23.016666666666666,0,0,62869,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-01,26191,open_field_continuous_foraging,CA1,Axona,1682.0,28.033333333333335,0,0,380373,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-02,26191,open_field_continuous_foraging,CA1,Axona,1321.0,22.016666666666666,0,0,308806,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-03,26191,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,326398,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-04,26191,open_field_continuous_foraging,CA1,Axona,1621.0,27.016666666666666,0,0,193046,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-05,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,200148,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-07,26191,open_field_continuous_foraging,CA1,Axona,1681.0,28.016666666666666,0,0,128273,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-09,26191,open_field_continuous_foraging,CA1,Axona,1721.0,28.683333333333334,0,0,210532,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-10,26191,open_field_continuous_foraging,CA1,Axona,1680.0,28.0,0,0,218358,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-14,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,165080,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-15,26191,open_field_continuous_foraging,CA1,Axona,1631.0,27.183333333333334,0,0,154657,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-16,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,179770,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-17,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,310312,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-20,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,191565,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-21,26191,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,380624,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-23,26191,open_field_continuous_foraging,CA1,Axona,1681.0,28.016666666666666,0,0,72278,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-24,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,128700,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-25,26191,open_field_continuous_foraging,CA1,Axona,1800.0,30.0,0,0,158923,4,True,False,continuous_reference
Openfield CA1 continuous spatial foraging,continuous_spatial_reference,26191_2020-04-27,26191,open_field_continuous_foraging,CA1,Axona,1801.0,30.016666666666666,0,0,100340,4,True,False,continuous_reference
