dataset_short_name,session_id,subject_id,trial_id,trial_type,trial_outcome,trial_side,object_id,n_spikes_total,n_spiketrains,n_events,is_preview_record,source_level
touchandsee,Turing_samp39_2012-09-18,Turing,Trial 5,normal,incorrect,right,,0,10,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 2,memory,correct,left,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 4,normal,incorrect,left,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 5,normal,incorrect,left,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 6,normal,correct,right,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp40_2012-09-19,Turing,Trial 7,normal,incorrect,right,,0,15,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 3,normal,incorrect,right,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 4,normal,incorrect,left,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 5,memory,correct,right,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 6,normal,correct,left,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp41_2012-09-19,Turing,Trial 8,normal,correct,left,,0,9,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 2,normal,incorrect,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 3,normal,correct,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 4,normal,incorrect,right,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 5,normal,incorrect,left,,0,14,6,True,touchandsee_segment_preview
touchandsee,Turing_samp42_2012-09-20,Turing,Trial 6,memory,correct,right,,0,14,6,True,touchandsee_segment_preview
