dataset,session_id,subject_id,trial_number,trial_outcome,trial_side,trial_type,n_spikes_total,n_spiketrains,mean_spikes_per_spiketrain,n_events,n_event_times_total,record_level,activity
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,5.0,correct,right,memory,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Taskmaster_samp9_2012-01-14,Taskmaster,6.0,incorrect,left,normal,0.0,48.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,1.0,incorrect,right,normal,0.0,21.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,2.0,correct,left,normal,0.0,21.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,3.0,incorrect,right,normal,0.0,21.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,5.0,correct,right,normal,0.0,21.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp34_2012-09-14,Turing,6.0,correct,right,normal,0.0,21.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp35_2012-09-15,Turing,5.0,incorrect,right,normal,0.0,24.0,0.0,1.0,6.0,full,0.0
TouchAndSee object-memory,Turing_samp35_2012-09-15,Turing,7.0,correct,left,normal,0.0,24.0,0.0,1.0,6.0,full,0.0
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,2.0,incorrect,right,memory,0.0,20.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,3.0,incorrect,left,normal,0.0,20.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,6.0,correct,right,normal,0.0,20.0,0.0,1.0,6.0,preview,0.0
TouchAndSee object-memory,Turing_samp36_2012-09-15,Turing,7.0,incorrect,left,memory,0.0,20.0,0.0,1.0,6.0,preview,0.0
