lag_index,lag_value_s,mean_distance,median_distance,n_pairs,session_id,subject_id,context
15,150.0,1.0223547808236984,1.045149069325329,114,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
16,160.0,1.0198684889927756,1.0526852500062935,113,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
17,170.0,1.030177869524315,1.04068438457588,112,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
18,180.0,1.0410859227483047,1.0484029120608789,111,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
19,190.0,1.0344717267781456,1.0351159157353298,110,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
20,200.0,1.056786592752661,1.074673681388157,109,27284_2021-Jun-17_15-01-36,27284_Douglas,object_context
1,10.0,0.34921376806618365,0.29221676956541615,106,27284_2021-Jun-18_11-01-41,27284_Douglas,open_field
2,20.0,0.4386516489940336,0.37923515209758607,105,27284_2021-Jun-18_11-01-41,27284_Douglas,open_field
3,30.0,0.49002351826194424,0.399636409977045,104,27284_2021-Jun-18_11-01-41,27284_Douglas,open_field
4,40.0,0.5292183035386709,0.4452845321653681,103,27284_2021-Jun-18_11-01-41,27284_Douglas,open_field
5,50.0,0.560421158657766,0.4911203903395722,102,27284_2021-Jun-18_11-01-41,27284_Douglas,open_field
6,60.0,0.5830443492517062,0.521628545223336,101,27284_2021-Jun-18_11-01-41,27284_Douglas,open_field
